City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,43.16,100,100,9.01,SJ,2023-08-09 23:45:25
1,invercargill,-46.4,168.35,43.02,85,89,4.0,NZ,2023-08-09 23:45:25
2,axim,4.8699,-2.2405,75.54,85,95,10.85,GH,2023-08-09 23:45:25
3,port mathurin,-19.6833,63.4167,72.3,71,0,15.3,MU,2023-08-09 23:45:25
4,kapuskasing,49.4169,-82.4331,73.49,60,75,6.91,CA,2023-08-09 23:45:26
5,kyshtovka,56.555,76.6271,54.14,95,100,7.54,RU,2023-08-09 23:45:26
6,labrador city,52.9463,-66.9114,53.51,100,100,6.91,CA,2023-08-09 23:45:26
7,longyearbyen,78.2186,15.6401,49.84,66,0,3.44,SJ,2023-08-09 23:45:27
8,grytviken,-54.2811,-36.5092,22.28,96,48,1.95,GS,2023-08-09 23:45:27
9,tralee,52.2704,-9.7026,60.67,92,8,9.04,IE,2023-08-09 23:45:27
10,papatowai,-46.5619,169.4708,40.59,81,93,7.58,NZ,2023-08-09 23:45:29
11,hailar,49.2,119.7,64.87,75,14,7.43,CN,2023-08-09 23:45:29
12,smithers,54.7804,-127.1743,68.32,45,75,10.36,CA,2023-08-09 23:42:24
13,yoichi,43.2039,140.7703,80.87,82,67,3.56,JP,2023-08-09 23:45:30
14,blackmans bay,-43.0167,147.3167,57.72,63,88,8.48,AU,2023-08-09 23:45:30
15,belmonte,-15.8631,-38.8828,71.73,72,0,8.57,BR,2023-08-09 23:45:31
16,nantucket,41.2835,-70.0995,78.91,67,0,10.36,US,2023-08-09 23:45:31
17,isangel,-19.55,169.2667,71.1,58,20,18.81,VU,2023-08-09 23:45:31
18,yellowknife,62.456,-114.3525,70.32,43,75,14.97,CA,2023-08-09 23:45:31
19,port elizabeth,-33.918,25.5701,61.09,82,0,12.66,ZA,2023-08-09 23:45:32
20,san luis de la loma,17.2706,-100.8939,85.12,77,100,2.53,MX,2023-08-09 23:45:32
21,margaret river,-33.95,115.0667,51.01,84,100,3.18,AU,2023-08-09 23:45:32
22,saipan,15.1355,145.701,85.64,100,75,12.66,MP,2023-08-09 23:45:33
23,huilong,31.8111,121.655,86.94,80,2,14.0,CN,2023-08-09 23:45:11
24,hithadhoo,-0.6,73.0833,81.03,74,72,5.23,MV,2023-08-09 23:45:33
25,aykhal,66.0,111.5,60.06,65,95,5.35,RU,2023-08-09 23:42:17
26,la ronge,55.1001,-105.2842,70.02,43,40,9.22,CA,2023-08-09 23:45:34
27,el granada,37.5027,-122.4694,87.04,75,100,10.36,US,2023-08-09 23:43:09
28,maracacume,-2.0428,-45.9592,72.19,98,50,3.22,BR,2023-08-09 23:45:34
29,mount isa,-20.7333,139.5,73.17,35,7,11.5,AU,2023-08-09 23:45:35
